ID_Gireve_Zone;Nom_Enseigne_dexploitation;Nom_Zone;Libelle_Affichable;ID_Exploitant_Zone;ID_eMI3_Zone;Agregateur;Id_Agregateur;Nom_Exploitant_Technique;ID_eMI3_Exploitant_T;Nom_Exploitant_Proprietaire;ID_eMI3_Exploitant_P;Nom_Exploitant_Commercial;ID_eMI3_Exploitant_C;Numero_Rue;Nom_Rue;Ville;Code_Postal;Pays;Complement_Adresse;Latitude_Zone;Longitude_Zone;Etage_dimplantation_Zone;Nombre_Borne_Zone;Nombre_Parking_Zone;Accessibilite_Zone;Type_Site_dimplantation_Zone;Statut_activite_Zone;Latitude_Entree_Zone;Longitude_Entree_Zone;Numero_Tel_Zone;Identifiant_GRD_du_PDL;Commentaire_Acces;Horaires_Geres;24/24;Ouverture_Lundi;Fermeture_Lundi;Ouverture_Mardi;Fermeture_Mardi;Ouverture_Mercredi;Fermeture_Mercredi;Ouverture_Jeudi;Fermeture_Jeudi;Ouverture_Vendredi;Fermeture_Vendredi;Ouverture_Samedi;Fermeture_Samedi;Ouverture_Dimanche;Fermeture_Dimanche;ID_Audit;Auteur_Audit;Informations_Audit;Date_Audit;ID_Gireve_Borne;ID_Exploitant_Borne;Identifiant_visuel_Borne;Nombre_PointsdeCharge_Borne;Borne_communiquante;Fabricant_Borne;Modele_Borne;Type_acces_Borne;Mode_authentification;Langue_Borne;Commentaire;Mode_paiement;Commentaires_paiement;ID_Gireve_Point;IDExt_Point;Identifiant_pt_charge;Identifiant_visuel_pt_charge;Comptage_Type;Type_Courant;Nombre_prises;Puissance_Max;Label_certification;Roamable;ID_Gireve_Groupe;Service_Name;Nom_Type_Prise1;Intensite_Prise1;Nom_Type_Prise2;Intensite_Prise2;Nom_Type_Prise3;Intensite_Prise3;Nom_Type_Prise4;Intensite_Prise4;Nom_Type_Prise5;Intensite_Prise5
393383;Volkswagen;Volkswagen/Longeville-lès-Saint-Avold /RN3/;Longeville-lès-Saint-Avold ;;;;;VOLKSWAGEN Group France | FR*E85;FR*E85;VOLKSWAGEN Group France;;;;;RN3;Longeville-lès-Saint-Avold;57740;FR;ZAC;49.109992;6.681055;0;6;6;1;4;2;49.109992;6.681055;33355684000;;;1;1;08:00:00-18:00:00;;08:00:00-18:00:00;;08:00:00-18:00:00;;08:00:00-18:00:00;;08:00:00-18:00:00;;08:00:00-18:00:00;;;;;;;;515120;Volkswagen/Longeville-lès-Saint-Avold /RN3/-B2;;1;0;Hager;Evlink;7;100;fr;;1;;939446;Volkswagen/Longeville-lès-Saint-Avold /RN3/-B2-P1;;;0;2;1;22.000;;0;;;9;32;;;;;;;;
393383;Volkswagen;Volkswagen/Longeville-lès-Saint-Avold /RN3/;Longeville-lès-Saint-Avold ;;;;;VOLKSWAGEN Group France | FR*E85;FR*E85;VOLKSWAGEN Group France;;;;;RN3;Longeville-lès-Saint-Avold;57740;FR;ZAC;49.109992;6.681055;0;6;6;1;4;2;49.109992;6.681055;33355684000;;;1;1;08:00:00-18:00:00;;08:00:00-18:00:00;;08:00:00-18:00:00;;08:00:00-18:00:00;;08:00:00-18:00:00;;08:00:00-18:00:00;;;;;;;;515123;Volkswagen/Longeville-lès-Saint-Avold /RN3/-B3;;1;0;Hager;Evlink;7;100;fr;;1;;939449;Volkswagen/Longeville-lès-Saint-Avold /RN3/-B3-P1;;;0;2;1;22.000;;0;;;9;32;;;;;;;;
393383;Volkswagen;Volkswagen/Longeville-lès-Saint-Avold /RN3/;Longeville-lès-Saint-Avold ;;;;;VOLKSWAGEN Group France | FR*E85;FR*E85;VOLKSWAGEN Group France;;;;;RN3;Longeville-lès-Saint-Avold;57740;FR;ZAC;49.109992;6.681055;0;6;6;1;4;2;49.109992;6.681055;33355684000;;;1;1;08:00:00-18:00:00;;08:00:00-18:00:00;;08:00:00-18:00:00;;08:00:00-18:00:00;;08:00:00-18:00:00;;08:00:00-18:00:00;;;;;;;;515126;Volkswagen/Longeville-lès-Saint-Avold /RN3/-B4;;1;0;Hager;Evlink;7;100;fr;;1;;939452;Volkswagen/Longeville-lès-Saint-Avold /RN3/-B4-P1;;;0;2;1;22.000;;0;;;9;32;;;;;;;;
393383;Volkswagen;Volkswagen/Longeville-lès-Saint-Avold /RN3/;Longeville-lès-Saint-Avold ;;;;;VOLKSWAGEN Group France | FR*E85;FR*E85;VOLKSWAGEN Group France;;;;;RN3;Longeville-lès-Saint-Avold;57740;FR;ZAC;49.109992;6.681055;0;6;6;1;4;2;49.109992;6.681055;33355684000;;;1;1;08:00:00-18:00:00;;08:00:00-18:00:00;;08:00:00-18:00:00;;08:00:00-18:00:00;;08:00:00-18:00:00;;08:00:00-18:00:00;;;;;;;;515129;Volkswagen/Longeville-lès-Saint-Avold /RN3/-B5;;1;0;Hager;Evlink;7;100;fr;;1;;939455;Volkswagen/Longeville-lès-Saint-Avold /RN3/-B5-P1;;;0;2;1;7.000;;0;;;8;30;;;;;;;;
393383;Volkswagen;Volkswagen/Longeville-lès-Saint-Avold /RN3/;Longeville-lès-Saint-Avold ;;;;;VOLKSWAGEN Group France | FR*E85;FR*E85;VOLKSWAGEN Group France;;;;;RN3;Longeville-lès-Saint-Avold;57740;FR;ZAC;49.109992;6.681055;0;6;6;1;4;2;49.109992;6.681055;33355684000;;;1;1;08:00:00-18:00:00;;08:00:00-18:00:00;;08:00:00-18:00:00;;08:00:00-18:00:00;;08:00:00-18:00:00;;08:00:00-18:00:00;;;;;;;;515132;Volkswagen/Longeville-lès-Saint-Avold /RN3/-B6;;1;0;Hager;Evlink;7;100;fr;;1;;939458;Volkswagen/Longeville-lès-Saint-Avold /RN3/-B6-P1;;;0;2;1;7.000;;0;;;8;30;;;;;;;;
393389;Volkswagen;Volkswagen/Onet-le-Château/Rue du Pôle Automobile/123;Onet-le-Château;;;;;VOLKSWAGEN Group France | FR*E85;FR*E85;VOLKSWAGEN Group France;;;;123;Rue du Pôle Automobile;Onet-le-Château;12850;FR;;44.369568;2.583518;0;2;2;1;4;2;44.369568;2.583518;;;;1;1;09:30:00-17:00:00;;09:30:00-17:00:00;;09:30:00-17:00:00;;09:30:00-17:00:00;;09:30:00-17:00:00;;;;;;;;;;515138;Volkswagen/Onet-le-Château/Rue du Pôle Automobile/123-B1;;1;2;SCHNEIDER ;Evlink;5;13;fr;Service de recharge accessible sur présentation à l'acceuil de la concesion.;1;;939464;Volkswagen/Onet-le-Château/Rue du Pôle Automobile/123-B1-P1;;;0;2;2;22.000;;0;;;9;32;4;13;;;;;;
393389;Volkswagen;Volkswagen/Onet-le-Château/Rue du Pôle Automobile/123;Onet-le-Château;;;;;VOLKSWAGEN Group France | FR*E85;FR*E85;VOLKSWAGEN Group France;;;;123;Rue du Pôle Automobile;Onet-le-Château;12850;FR;;44.369568;2.583518;0;2;2;1;4;2;44.369568;2.583518;;;;1;1;09:30:00-17:00:00;;09:30:00-17:00:00;;09:30:00-17:00:00;;09:30:00-17:00:00;;09:30:00-17:00:00;;;;;;;;;;515141;Volkswagen/Onet-le-Château/Rue du Pôle Automobile/123-B2;;1;2;SCHNEIDER ;Evlink;5;13;fr;Service de recharge accessible sur présentation à l'acceuil de la concesion.;1;;939467;Volkswagen/Onet-le-Château/Rue du Pôle Automobile/123-B2-P1;;;0;2;2;22.000;;0;;;9;32;4;13;;;;;;
393392;Volkswagen;Volkswagen/Saint-Amand-Montrond/Route de Charenton/314;Saint-Amand-Montrond;;;;;VOLKSWAGEN Group France | FR*E85;FR*E85;VOLKSWAGEN Group France;;;;314;Route de Charenton;Saint-Amand-Montrond;18200;FR;;46.721679;2.534404;0;2;2;1;4;0;46.721679;2.534404;33248625000;;;1;1;09:00:00-12:00:00;14:00:00-18:00:00;09:00:00-12:00:00;14:00:00-18:00:00;09:00:00-12:00:00;14:00:00-18:00:00;09:00:00-12:00:00;14:00:00-18:00:00;09:00:00-12:00:00;14:00:00-18:00:00;09:00:00-12:00:00;14:00:00-18:00:00;;;;;;;515144;Volkswagen/Saint-Amand-Montrond/Route de Charenton/314-B1;;1;2;Ecotap;;5;13;fr;Service de recharge accessible sur présentation à l'acceuil de la concesion.;1;;939470;Volkswagen/Saint-Amand-Montrond/Route de Charenton/314-B1-P1;;;0;2;1;22.000;;0;;;3;55;;;;;;;;
393392;Volkswagen;Volkswagen/Saint-Amand-Montrond/Route de Charenton/314;Saint-Amand-Montrond;;;;;VOLKSWAGEN Group France | FR*E85;FR*E85;VOLKSWAGEN Group France;;;;314;Route de Charenton;Saint-Amand-Montrond;18200;FR;;46.721679;2.534404;0;2;2;1;4;0;46.721679;2.534404;33248625000;;;1;1;09:00:00-12:00:00;14:00:00-18:00:00;09:00:00-12:00:00;14:00:00-18:00:00;09:00:00-12:00:00;14:00:00-18:00:00;09:00:00-12:00:00;14:00:00-18:00:00;09:00:00-12:00:00;14:00:00-18:00:00;09:00:00-12:00:00;14:00:00-18:00:00;;;;;;;515147;Volkswagen/Saint-Amand-Montrond/Route de Charenton/314-B2;;1;2;EV Box;;5;13;fr;Service de recharge accessible sur présentation à l'acceuil de la concesion.;1;;939473;Volkswagen/Saint-Amand-Montrond/Route de Charenton/314-B2-P1;;;0;2;1;11.000;;0;;;9;16;;;;;;;;
393401;Bastia Mairie;Bastia Mairie/FR*XXX*PMAIRIEBASTIA20200*1;Bastia Mairie;FR*XXX*PMAIRIEBASTIA20200*1;FR*XXX*PMAIRIEBASTIA20200*1;;;Driveco | XX*DRV;XX*DRV;Bastia Mairie;;;;;Avenue Pierre Giudicelli;Bastia;20200;FR;;42.702202;9.452080;0;1;6;1;1;2;42.702202;9.452080;;;;1;0;;;;;;;;;;;;;;;;;;;515156;FR*XXX*PMAIRIEBASTIA20200*1-B1;;6;2;;;1;100|13|5;fr;;2|3;;939524;ZChargePoint491;FR*XXX*E10337*P1;10337;0;2;2;22.000;;0;;;4;16;9;32;;;;;;
